# x_m,y_m,w_tr_right_m,w_tr_left_m
0.8100,2.7600,1.0500,1.0500
0.8100,2.7100,1.0500,1.0500
0.8100,2.6600,1.0512,1.0512
0.8100,2.6100,1.0548,1.0548
0.7600,2.5600,1.0112,1.0112
0.7600,2.5100,1.0198,1.0198
0.7600,2.4600,1.0308,1.0308
0.7600,2.4100,1.0440,1.0440
0.7600,2.3600,1.0500,1.0500
0.7600,2.3100,1.0500,1.0500
0.7600,2.2600,1.0500,1.0500
0.7600,2.2100,1.0500,1.0500
0.7600,2.1600,1.0500,1.0500
0.7600,2.1100,1.0500,1.0500
0.7600,2.0600,1.0440,1.0440
0.7600,2.0100,1.0308,1.0308
0.7600,1.9600,1.0198,1.0198
0.7600,1.9100,1.0112,1.0112
0.7600,1.8600,1.0050,1.0050
0.7600,1.8100,1.0012,1.0012
0.7600,1.7600,1.0000,1.0000
0.7600,1.7100,1.0000,1.0000
0.7600,1.6600,1.0000,1.0000
0.7600,1.6100,1.0000,1.0000
0.7600,1.5600,1.0000,1.0000
0.7600,1.5100,1.0000,1.0000
0.7600,1.4600,1.0000,1.0000
0.7600,1.4100,1.0000,1.0000
0.7600,1.3600,1.0000,1.0000
0.7600,1.3100,1.0000,1.0000
0.7600,1.2600,1.0000,1.0000
0.7600,1.2100,1.0000,1.0000
0.7600,1.1600,1.0000,1.0000
0.7600,1.1100,1.0000,1.0000
0.7600,1.0600,1.0000,1.0000
0.7600,1.0100,1.0000,1.0000
0.7600,0.9600,1.0000,1.0000
0.7600,0.9100,1.0000,1.0000
0.7600,0.8600,1.0000,1.0000
0.7600,0.8100,1.0000,1.0000
0.7600,0.7600,1.0000,1.0000
0.7600,0.7100,1.0000,1.0000
0.7600,0.6600,1.0012,1.0012
0.7600,0.6100,1.0050,1.0050
0.7600,0.5600,1.0112,1.0112
0.7600,0.5100,1.0198,1.0198
0.8100,0.4600,1.0794,1.0794
0.8100,0.4100,1.0920,1.0920
0.8100,0.3600,1.1045,1.1045
0.8100,0.3100,1.1102,1.1102
0.8100,0.2600,1.1180,1.1180
0.8600,0.2600,1.1281,1.1281
0.9100,0.2600,1.1180,1.1180
0.9600,0.2600,1.1102,1.1102
1.0100,0.2100,1.0548,1.0548
1.0600,0.2100,1.0512,1.0512
1.1100,0.2100,1.0500,1.0500
1.1600,0.2100,1.0500,1.0500
1.2100,0.2100,1.0500,1.0500
1.2600,0.2100,1.0500,1.0500
1.3100,0.2100,1.0500,1.0500
1.3600,0.2100,1.0440,1.0440
1.4100,0.2100,1.0308,1.0308
1.4600,0.2100,1.0198,1.0198
1.5100,0.2100,1.0112,1.0112
1.5600,0.2100,1.0050,1.0050
1.6100,0.2100,1.0012,1.0012
1.6600,0.2100,1.0000,1.0000
1.7100,0.2100,1.0000,1.0000
1.7600,0.2100,1.0000,1.0000
1.8100,0.2100,0.9962,0.9962
1.8600,0.2100,0.9823,0.9823
1.9100,0.2100,0.9708,0.9708
1.9600,0.2100,0.9618,0.9618
2.0100,0.2100,0.9552,0.9552
2.0600,0.2100,0.9513,0.9513
2.1100,0.2100,0.9500,0.9500
2.1600,0.2100,0.9500,0.9500
2.2100,0.2600,0.9000,0.9000
2.2600,0.2600,0.9000,0.9000
2.3100,0.2600,0.9000,0.9000
2.3600,0.2600,0.9000,0.9000
2.4100,0.2600,0.9000,0.9000
2.4600,0.2600,0.9000,0.9000
2.5100,0.2600,0.9014,0.9014
2.5600,0.2600,0.9055,0.9055
2.6100,0.2600,0.9124,0.9124
2.6600,0.2600,0.9220,0.9220
2.7100,0.2600,0.9341,0.9341
2.7600,0.2600,0.9220,0.9220
2.8100,0.2600,0.9124,0.9124
2.8600,0.2600,0.9055,0.9055
2.9100,0.2600,0.9014,0.9014
2.9600,0.2600,0.9000,0.9000
3.0100,0.2600,0.9000,0.9000
3.0600,0.2600,0.9000,0.9000
3.1100,0.2600,0.9000,0.9000
3.1600,0.3100,0.9341,0.9341
3.2100,0.3100,0.9220,0.9220
3.2600,0.3100,0.9124,0.9124
3.3100,0.3100,0.9055,0.9055
3.3600,0.3100,0.9014,0.9014
3.4100,0.3100,0.9000,0.9000
3.4600,0.3100,0.9000,0.9000
3.5100,0.3600,0.9487,0.9487
3.5600,0.3600,0.9487,0.9487
3.6100,0.3600,0.9341,0.9341
3.6600,0.3600,0.9220,0.9220
3.7100,0.3600,0.9124,0.9124
3.7600,0.3600,0.9055,0.9055
3.8100,0.3600,0.9014,0.9014
3.8600,0.4100,0.9500,0.9500
3.9100,0.4100,0.9487,0.9487
3.9600,0.4100,0.9341,0.9341
4.0100,0.4100,0.9220,0.9220
4.0600,0.4100,0.9124,0.9124
4.1100,0.4100,0.9055,0.9055
4.1600,0.4100,0.9014,0.9014
4.2100,0.4100,0.9000,0.9000
4.2600,0.4600,0.9487,0.9487
4.3100,0.4600,0.9341,0.9341
4.3600,0.4600,0.9220,0.9220
4.4100,0.4600,0.9124,0.9124
4.4600,0.5100,0.9552,0.9552
4.5100,0.5100,0.9513,0.9513
4.5600,0.5100,0.9500,0.9500
4.6100,0.5100,0.9500,0.9500
4.6600,0.5100,0.9500,0.9500
4.7100,0.5600,0.9962,0.9962
4.7600,0.5600,0.9823,0.9823
4.8100,0.5600,0.9708,0.9708
4.8600,0.5600,0.9618,0.9618
4.9100,0.5600,0.9552,0.9552
4.9600,0.5600,0.9513,0.9513
