x_m,y_m,vx_mps
1.3197709,2.2916372,4.3722586
1.2305772,2.1129170,4.2647675
1.1611831,1.9256055,4.1975993
1.1152550,1.7308755,4.1622681
1.0956624,1.5315701,4.1446781
1.1040179,1.3314369,4.1281596
1.1403705,1.1348109,4.1115747
1.2027921,0.9455427,4.1206537
1.2884575,0.7659725,4.1669678
1.3953635,0.5978585,4.2525661
1.5214042,0.4451127,4.2986377
1.6645945,0.3098780,4.2849996
1.8261191,0.1885487,4.3490677
1.9996526,0.0849146,4.4304274
2.1800223,0.0008220,4.5000323
2.3699376,-0.0656820,4.5699201
2.5638789,-0.1130145,4.6291253
2.7618403,-0.1424490,4.7036889
2.9614075,-0.1553664,4.8030227
3.1614267,-0.1543861,4.9459841
3.3610682,-0.1427906,5.1367230
3.5605550,-0.1238861,5.3191791
3.7588190,-0.1000260,5.4941890
3.9570811,-0.0729757,5.6624538
4.1547429,-0.0446650,5.8245686
4.3525989,-0.0163894,5.9810437
4.5506362,0.0110358,6.1323204
4.7487815,0.0374403,6.2787842
4.9471002,0.0630020,6.4207734
5.1454319,0.0879008,6.5585876
5.3438583,0.1123575,6.6924934
5.5422797,0.1365729,6.8227294
5.7407987,0.1607670,6.9495100
5.9391233,0.1851075,7.0730292
6.1376073,0.2098449,7.1934627
6.3358428,0.2351338,7.2229364
6.5340223,0.2612021,6.8924388
6.7321306,0.2883590,6.5584815
6.9299306,0.3170146,6.2228904
7.1277142,0.3478112,5.8838211
7.3250639,0.3814645,5.5511819
7.5214970,0.4190640,5.2331320
7.7170406,0.4626152,4.9728430
7.9101441,0.5153509,4.7632228
8.0987829,0.5802656,4.6028722
8.2829455,0.6609029,4.4630558
8.4570225,0.7573035,4.3432892
8.6219957,0.8721845,4.2202082
8.7737241,1.0048156,4.0934319
8.9071436,1.1520170,3.9695647
9.0209378,1.3137760,3.8522715
9.1135984,1.4912603,3.7641425
9.1818370,1.6779442,3.7410359
9.2191407,1.8738799,3.7261261
9.2225702,2.0734856,3.7111564
9.1936399,2.2712827,3.7392675
9.1351683,2.4625021,3.7962187
9.0508965,2.6437971,3.8824050
8.9453886,2.8135921,4.0090653
8.8245196,2.9720949,4.1951450
8.6950357,3.1220741,4.4246405
8.5568509,3.2667990,4.6410972
8.4088046,3.4013420,4.7977039
8.2533041,3.5231506,4.9216484
8.0863007,3.6356390,5.0352085
7.9115616,3.7361989,5.1390773
7.7326233,3.8233590,5.2302719
7.5460352,3.8989302,5.3111748
7.3563021,3.9609038,5.3744114
7.1620326,4.0097441,5.4265477
6.9651545,4.0449293,5.4702531
6.7664869,4.0665834,5.5127556
6.5666110,4.0750863,5.5615073
6.3674675,4.0712364,5.6206855
6.1677157,4.0567378,5.7247682
5.9696595,4.0341203,5.8800901
5.7711306,4.0061205,6.0346941
5.5734889,3.9757963,6.1842408
5.3754402,3.9456963,6.3290981
5.1773604,3.9182088,6.4695901
4.9785917,3.8950983,6.6060041
4.7796530,3.8763874,6.7385964
4.5800581,3.8606927,6.8675967
4.3809841,3.8462718,6.9932119
4.1810747,3.8309856,6.9234501
3.9822953,3.8130725,6.6957772
3.7831241,3.7905377,6.5063081
3.5853820,3.7618919,6.3528688
3.3887118,3.7255314,6.2297603
3.1936642,3.6801308,6.1313884
3.0022770,3.6250278,6.0570233
2.8125910,3.5585385,5.9959560
2.6288464,3.4813274,5.9495742
2.4494383,3.3920824,5.9110356
2.2760795,3.2909860,5.8781164
2.1118039,3.1796144,5.8528257
1.9535486,3.0554618,5.8289976
1.8046785,2.9205712,5.8057663
1.6668729,2.7765529,5.7824416
1.5400430,2.6236986,5.7617732
1.4240040,2.4620120,5.7510204
1.3197709,2.2916372,4.3722586
